Mfr
MICRO COMMERCIAL COMPONENTS CORP
PROSPERITY DIELECTRICS CO LTD
CENTRAL SEMICONDUCTOR CORP
OSRAM GMBH
ALTERA CORPORATION
EVERLIGHT ELECTRONICS CO LTD
DELTA ELECTRONICS INC
HARTING KGaA
MINI-SYSTEMS INC
MULTICOMP INC
TAIWAN SEMICONDUCTOR CO LTD
PAN JIT INTERNATIONAL INC
LAIRD PLC
AIRBORN INC
FOX ELECTRONICS INC
SCHURTER AG
ERNI ELECTRONICS GMBH
OHMITE MANUFACTURING CO
WAGO KONTAKTTECHNIK GMBH & CO KG
DIALIGHT PLC
LITE-ON TECHNOLOGY CORP
SUMIDA CORPORATION
POSITRONIC INDUSTRIES INC
INTEGRATED SILICON SOLUTION INC (ISSI)
MICREL INCORPORATED
SEMTECH CORPORATION
CHILISIN ELECTRONICS CORP
LELON ELECTRONICS CO LTD
VIKING TECH CORPORATION
WIMA GROUP
NEC CORPORATION
API DELEVAN
OMRON CORPORATION
SMART MODULAR TECHNOLOGIES (WWH) INC
HARWIN PLC
WINCHESTER INTERCONNECT
RCD COMPONENTS INC
PANDUIT CORP
ABB LTD
VISHAY PRECISION GROUP
XIAMEN FARATRONIC CO LTD
DARFON ELECTRONIC CORP
MINI-CIRCUITS INC
ECS INC INTERNATIONAL
CYNTEC CO LTD
THE EXXELIA GROUP
LATTICE SEMICONDUCTOR CORPORATION
MONOLITHIC POWER SYSTEMS INC
THIN FILM TECHNOLOGY CORP
HOKURIKU ELECTRIC INDUSTRY CO LTD
BIZLINK TECHNOLOGY INC
XFMRS INC
PERICOM SEMICONDUCTOR CORPORATION
MAXLINEAR INC
CVILUX CORPORATION
MACOM TECHNOLOGY SOLUTIONS INC
SHENZHEN SUNLORD ELECTRONICS CO LTD
AIR ELECTRO INC
CHIP TECHNOLOGIES INC
HOLY STONE ENTERPRISE CO LTD
IXYS CORPORATION
TXC CORPORATION
ALPHA WIRE CORPORATION
RADIALL SA
MTRONPTI
KEYSTONE ELECTRONICS CORP
HITANO ENTERPRISE CORP
QORVO
DINKLE ENTERPRISE CO LTD
FINISAR CORPORATION
SOURIAU S A 
WEIDMULLER INTERFACE GMBH & CO KG
VISHAY INTERTECHNOLOGY INC
TEXAS INSTRUMENTS INCORPORATED
YAGEO CORPORATION
KOA SPEER ELECTRONICS INC
TE CONNECTIVITY LTD
MURATA MANUFACTURING CO LTD
ON SEMICONDUCTOR CORP
MOLEX INC
PANASONIC CORPORATION
KYOCERA AVX
ANALOG DEVICES INC
SAMTEC INC
TT ELECTRONICS PLC
KEMET CORPORATION
TDK CORPORATION
NXP SEMICONDUCTORS NV
AMPHENOL CORPORATION
WALSIN TECHNOLOGY CORPORATION
MAXIM INTEGRATED INC
ROHM CO LTD
STACKPOLE ELECTRONICS INC
SAMSUNG ELECTRONICS CO LTD
NIC COMPONENTS CORP
BOURNS INC
MICROCHIP TECHNOLOGY INC
VENKEL LTD
COILCRAFT INC
STMICROELECTRONICS NV
LINEAR TECHNOLOGY CORPORATION
DIODES INCORPORATED
LITTELFUSE INC
INFINEON TECHNOLOGIES AG
FAIRCHILD SEMICONDUCTOR INC
FRAMATOME CONNECTORS INTERNATIONAL INC
NEXPERIA
MICROSEMI CORPORATION
PHOENIX CONTACT GMBH & CO KG
KAMAYA ELECTRIC CO LTD
RENESAS ELECTRONICS CORPORATION
TAIYO YUDEN CO LTD
INTEGRATED DEVICE TECHNOLOGY INC
CAL-CHIP ELECTRONICS INC
ASJ HOLDINGS LIMITED
WURTH ELECTRONIK GMBH & CO KG
BROADCOM LIMITED
CYPRESS SEMICONDUCTOR CORPORATION
NICHICON CORPORATION
KNOWLES ELECTRONICS HOLDINGS INC
EATON CORPORATION PLC
TA-I TECHNOLOGY CO LTD
MICRON TECHNOLOGY INC
STATE OF THE ART INC
INTERNATIONAL RECTIFIER CORPORATION
JOHANSON TECHNOLOGY INC
PULSE ELECTRONICS CORPORATION
KINGBRIGHT ELECTRONIC CO LTD
SILICON LABORATORIES INC
SEIKO EPSON CORPORATION
FENGHUA ADVANCED TECHNOLOGY CO LTD
NIPPON CHEMI-CON CORP
TOSHIBA CORP
AMERICAN TECHNICAL CERAMICS CORP
INTERSIL CORPORATION
ROYAL ELECTRONIC FACTORY CO LTD
HIROSE ELECTRIC CO LTD
SUSUMU CO LTD
3M COMPANY
INTEL CORPORATION
RUBYCON CORPORATION
RALEC ELECTRONIC CORPORATION
BEL FUSE INC
JST MFG CO LTD
ABRACON LLC
ATMEL CORPORATION
GLENAIR INC
XILINX INC
CTS CORPORATION
